"stock" "season" "attribute" "mean" "sd"
"80" "pg10" 2004 "soluble solids" 8.2 1.20712172424443
"81" "pg12" 2004 "soluble solids" 10.2727272727273 2.10194714923611
"82" "pg13" 2004 "soluble solids" 10 0.707106781186548
"83" "pg14" 2004 "soluble solids" 8.58139534883721 1.86742193232038
"84" "pg2" 2004 "soluble solids" 10 1.66666666666667
"85" "pg21" 2004 "soluble solids" 9.39130434782609 2.12643813228478
"86" "pg22" 2004 "soluble solids" 8.5 2.12132034355964
"87" "pg25" 2004 "soluble solids" 9.57142857142857 1.73052275186112
"88" "pg27" 2004 "soluble solids" 9.5 1.29478592370913
"89" "pg28" 2004 "soluble solids" 9.28125 1.34965646764099
"90" "pg29" 2004 "soluble solids" 9.40625 1.94868648896072
"91" "pg32" 2004 "soluble solids" 8.45454545454546 0.911684611677104
"92" "pg34" 2004 "soluble solids" 9 1.87082869338697
"93" "pg35" 2004 "soluble solids" 9.4 2.11869981094276
"94" "pg43" 2004 "soluble solids" 8 0
"95" "pg44" 2004 "soluble solids" 9.63636363636364 0.80903983495589
"96" "pg5" 2004 "soluble solids" 9.625 2.12260094756614
"97" "pg53" 2004 "soluble solids" 9.82352941176471 1.77606637395844
"98" "pg62" 2004 "soluble solids" 9 1.58943882847805
"99" "pg7" 2004 "soluble solids" 9 1
"100" "chaendler" 2006 "soluble solids" 7.51648351648352 1.47845743457037
"101" "pg10" 2006 "soluble solids" 8.74074074074074 1.45688267286941
"102" "pg2" 2006 "soluble solids" 8.60655737704918 1.40568712171415
"103" "pg29" 2006 "soluble solids" 7.60975609756098 1.86919834127478
"104" "pg5" 2006 "soluble solids" 8.47169811320755 1.52673323427841
"105" "pg62" 2006 "soluble solids" 7.16129032258065 1.41649271544305
"106" "chaendler" 2007 "soluble solids" 9.77659574468085 1.76563977393064
"107" "pg10" 2007 "soluble solids" 9.55434782608696 1.92708259890311
"108" "pg2" 2007 "soluble solids" 12.2368421052632 3.59567465778895
"109" "pg29" 2007 "soluble solids" 9.69148936170213 1.61026999994114
"110" "pg5" 2007 "soluble solids" 9.62121212121212 1.88344059764265
"111" "pg62" 2007 "soluble solids" 9.45283018867925 1.91216789711663
"112" "chaendler" 2011 "soluble solids" 7.05909090909091 1.39264375750538
"113" "pg29" 2011 "soluble solids" 7.61941747572815 1.57143984509444
"114" "pg62" 2011 "soluble solids" 7.48333333333333 1.40275418311464
"115" "chaendler" 2004 "weight" 12.3222222222222 4.81741549624818
"116" "pg1" 2004 "weight" 11.25 4.74402782453897
"117" "pg10" 2004 "weight" 11.1333333333333 2.04333993629012
"118" "pg12" 2004 "weight" 11.0363636363636 3.87872987646026
"119" "pg13" 2004 "weight" 10.04 1.45876660230484
"120" "pg14" 2004 "weight" 10.5162790697674 3.9893268457436
"121" "pg2" 2004 "weight" 10.1610810810811 3.2472790180428
"122" "pg21" 2004 "weight" 9.03214285714286 2.91776849936266
"123" "pg22" 2004 "weight" 7.1 0.424264068711929
"124" "pg25" 2004 "weight" 11.834375 5.35781668189331
"125" "pg27" 2004 "weight" 7.83333333333333 3.12579401677304
"126" "pg28" 2004 "weight" 11.0820512820513 4.11811606102084
"127" "pg29" 2004 "weight" 12.2342105263158 5.51529942417133
"128" "pg32" 2004 "weight" 9.93518518518519 3.8442218081871
"129" "pg34" 2004 "weight" 9.67777777777778 2.45039679326521
"130" "pg35" 2004 "weight" 9.34 4.16658666589865
"131" "pg43" 2004 "weight" 10.3 1.27279220613578
"132" "pg44" 2004 "weight" 9.61818181818182 1.61357874416973
"133" "pg5" 2004 "weight" 10.9105263157895 4.04660615048297
"134" "pg53" 2004 "weight" 11.6545454545455 4.98194141472381
"135" "pg62" 2004 "weight" 10.1384615384615 3.04461188634308
"136" "pg7" 2004 "weight" 10.2666666666667 1.15470053837925
"137" "chaendler" 2006 "weight" 10.2287912087912 3.40490490490959
"138" "pg10" 2006 "weight" 9.18518518518519 3.63060746174942
"139" "pg2" 2006 "weight" 11.7180327868852 5.13476738183667
"140" "pg29" 2006 "weight" 13.9707317073171 16.6943440108086
"141" "pg5" 2006 "weight" 12.8620689655172 4.40067090523853
"142" "pg62" 2006 "weight" 9.91351351351351 3.35709548420805
"143" "chaendler" 2007 "weight" 13.4255319148936 3.3004919320496
"144" "pg10" 2007 "weight" 10.2 2.65229460404885
"145" "pg2" 2007 "weight" 14.5578947368421 5.3935212175123
"146" "pg29" 2007 "weight" 12.2170212765957 4.0991684813713
"147" "pg5" 2007 "weight" 12.8666666666667 4.26604813224917
"148" "pg62" 2007 "weight" 12.9981132075472 3.56114126942245
"149" "chaendler" 2011 "weight" 12.4556818181818 3.28132500411863
"150" "pg29" 2011 "weight" 12.3058252427184 3.17121938700763
"151" "pg62" 2011 "weight" 12.8141176470588 4.06776389202133
